friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,field_name,field_type_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields,friendlier_id_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,definition_hud_acs_5yr_chas_estimate_data_by_county_2016_2020_fields2,match_status,unmatched_source
b1g_joGbEOvFDroC,T3_LE80_SUBST_PCT,esriFieldTypeDouble,T3_LE80_SUBST_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) without complete kitchen and plumbing,matched,
b1g_joGbEOvFDroC,T10_LE80_OC_PCT,esriFieldTypeDouble,T10_LE80_OC_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) with more than one person per room,matched,
b1g_joGbEOvFDroC,T8_LE80_CB_PCT,esriFieldTypeDouble,T8_LE80_CB_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) with cost burden over 30%,matched,
b1g_joGbEOvFDroC,T8_LE80_CB50_PCT,esriFieldTypeDouble,T8_LE80_CB50_PCT,b1g_joGbEOvFDroC,Percent of low and moderate income households (household income less than or equal to 80% HAMFI) with cost burden over 50%,matched,
b1g_joGbEOvFDroC,T7_SF_LE30,esriFieldTypeInteger,T7_SF_LE30,b1g_joGbEOvFDroC,"Household income is less than or equal to 30% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",matched,
b1g_joGbEOvFDroC,T7_LF_LE30,esriFieldTypeInteger,T7_LF_LE30,b1g_joGbEOvFDroC,Household income is less than or equal to 30% of HAMFI AND household type is large family (5 or more persons),matched,
b1g_joGbEOvFDroC,T7_SF_GT30_LE50,esriFieldTypeInteger,T7_SF_GT30_LE50,b1g_joGbEOvFDroC,"Household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",matched,
b1g_joGbEOvFDroC,T7_LF_GT30_LE50,esriFieldTypeInteger,T7_LF_GT30_LE50,b1g_joGbEOvFDroC,Household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is large family (5 or more persons),matched,
b1g_joGbEOvFDroC,T7_SF_GT50_LE80,esriFieldTypeInteger,T7_SF_GT50_LE80,b1g_joGbEOvFDroC,"Household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",matched,
b1g_joGbEOvFDroC,T7_LF_GT50_LE80,esriFieldTypeInteger,T7_LF_GT50_LE80,b1g_joGbEOvFDroC,Household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is large family (5 or more persons),matched,
