friendlier_id,field_name,field_type,values,definition,definition_source,parent_field_name,position
b1g_8XwiAQ81HSby,T2_EST94,esriFieldTypeInteger,,"Owner occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 30% but less than or equal to 50% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST102,esriFieldTypeInteger,,"Owner occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 50% but less than or equal to 80% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST110,esriFieldTypeInteger,,"Owner occupied AND cost burden not computed, household has None of the other severe housing problems AND household income is greater than 80% but less than or equal to 100% of HAMFI",,,
b1g_8XwiAQ81HSby,T2_EST85,esriFieldTypeInteger,,"Owner occupied AND cost burden not computed, household has None of the other severe housing problems",,,
b1g_8XwiAQ81HSby,T7_LE30_SF_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is less than or equal to 30% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_SF_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_SF_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_SF_CB_R,esriFieldTypeDouble,,"Renter occupied AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_LE30_SF_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is less than or equal to 30% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_SF_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_SF_CB_O,esriFieldTypeInteger,,"Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_SF_CB_O,esriFieldTypeDouble,,"Owner occupied AND household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_LE30_LF_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is less than or equal to 30% of HAMFI AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_LF_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_LF_CB_R,esriFieldTypeInteger,,Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_LF_CB_R,esriFieldTypeInteger,,Renter occupied AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_LE30_LF_CB_O,esriFieldTypeInteger,,Owner occupied AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_LF_CB_O,esriFieldTypeInteger,,Owner occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_LF_CB_O,esriFieldTypeInteger,,Owner occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_LF_CB_O,esriFieldTypeInteger,,Owner occupied AND household type is large family (5 or more persons) AND housing cost burden is greater than 30%,,,
b1g_8XwiAQ81HSby,T7_LE30_ELD_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is less than or equal to 30% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT30_LE50_ELD_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 30% but less than or equal to 50% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_GT50_LE80_ELD_CB_R,esriFieldTypeInteger,,"Renter occupied AND household income is greater than 50% but less than or equal to 80% of HAMFI AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
b1g_8XwiAQ81HSby,T7_ELD_CB_R,esriFieldTypeInteger,,"Renter occupied AND household type is elderly (elderly non-family household or family household with 2 people, at least one of which is elderly) AND housing cost burden is greater than 30%",,,
